date,index,targetAt,rawB,recovery2B,recovery3B,spy_priorAtr14Pct,spy_referencePrice,spy_trueRange15,spy_shockAtrRatio,spy_downsideExcursionPct,spy_realizedMovement60AtrRatio,spy_rollingStatus,spy_sessionDrawdownPct,spy_sessionDrawdownAtrRatio,spy_openToCurrentPct,rsp_priorAtr14Pct,rsp_referencePrice,rsp_trueRange15,rsp_shockAtrRatio,rsp_downsideExcursionPct,rsp_realizedMovement60AtrRatio,rsp_rollingStatus,rsp_sessionDrawdownPct,rsp_sessionDrawdownAtrRatio,rsp_openToCurrentPct
2021-12-01,1,2021-12-01T14:45:00.000Z,NORMAL,NORMAL,NORMAL,0.010932354925122855,461.64,1.589999999999975,0.31505035194076136,0.003032666146780992,,NOT_APPLICABLE_SESSION_WARMUP,0.0016023212004417408,0.1465668843919037,-0.0011914045576639776,0.011959779835889027,155.92,0.6350000000000193,0.3405247746949711,0.0036236531554643264,,NOT_APPLICABLE_SESSION_WARMUP,0.001923200205141428,0.16080565290761203,-0.0014751154438172875
2021-12-01,2,2021-12-01T15:00:00.000Z,NORMAL,NORMAL,NORMAL,0.010932354925122855,461.09,0.9987000000000421,0.19812333213727573,0.0009080656704764823,,NOT_APPLICABLE_SESSION_WARMUP,0.0008228135894160091,0.0752640757688136,-0.000411576119920265,0.011959779835889027,155.69,0.3400000000000034,0.182597578328722,0.0008349926135268512,,NOT_APPLICABLE_SESSION_WARMUP,0.0007692800820565712,0.0643222611630448,-0.0003206772703949756
2021-12-01,3,2021-12-01T15:15:00.000Z,NORMAL,NORMAL,NORMAL,0.010932354925122855,461.45,1.5400000000000205,0.30526874949649885,0,,NOT_APPLICABLE_SESSION_WARMUP,0.0008207520680792144,0.07507550511309355,0.0021012044016983644,0.011959779835889027,155.87,0.7198999999999955,0.38617704340158565,0.0000641560274587214,,NOT_APPLICABLE_SESSION_WARMUP,0.00044705610362518817,0.03737996098253061,0.0037833504361211023
2021-12-01,4,2021-12-01T15:30:00.000Z,NORMAL,NORMAL,NORMAL,0.010932354925122855,462.61,0.9200000000000159,0.1819110530942127,0.0007998097749724488,0.27320323677093944,VALID,0.0019431729855774117,0.17774514264186084,0.001343037865003005,0.011959779835889027,156.5099,0.3199999999999932,0.17095624866878953,0.0006382982801726345,0.38109735165354475,VALID,0.002041727812160998,0.17071617037917042,0.003142637249871738
2021-12-01,5,2021-12-01T15:45:00.000Z,NORMAL,NORMAL,NORMAL,0.010932354925122855,462.26,1.6499999999999773,0.3265005418761448,0.002228183273482397,0.2522785184267731,VALID,0.0016193108213144484,0.1481209522015451,0.0016679663807297462,0.011959779835889027,156.41,0.7399999999999807,0.3955888287155985,0.0039000063934530095,0.37461847311836544,VALID,0.003254003700631602,0.27207889654180384,0.0019240636223705199
2021-12-01,6,2021-12-01T16:00:00.000Z,NORMAL,NORMAL,NORMAL,0.010932354925122855,462.41,1.1800000000000068,0.23342161360861072,0.00010812914945613496,0.31888191396794296,VALID,0.0001725848901929519,0.01578661609278226,0.00394246599081538,0.011959779835889027,156.22,0.37999999999999545,0.20338727527166212,0.000032006145179845425,0.410025196207506,VALID,0.000957059911950343,0.08002320486522571,0.004232939969215144
2021-12-01,7,2021-12-01T16:15:00.000Z,NORMAL,NORMAL,NORMAL,0.010932354925122855,463.46,1.1599999999999682,0.22894544586985507,0.0006473050532946847,0.27681384487193417,VALID,0.00003230530668501541,0.00295501810051711,0.005772896629408164,0.011959779835889027,156.58,0.30000000000001137,0.16019973047042024,0.0006386511687317839,0.2483902245899102,VALID,0,0,0.005515649050795268
2021-12-01,8,2021-12-01T16:30:00.000Z,NORMAL,NORMAL,NORMAL,0.010932354925122855,464.305,0.5850000000000364,0.11524942908843126,0.00047382647182353684,0.26825441251450693,VALID,0.0009070953579960774,0.08297346401657223,0.005650506888484452,0.011959779835889027,156.78,0.22059999999999036,0.11764992727879048,0.0005740528128588047,0.24469009864070584,VALID,0.001214704424047765,0.10156578471475436,0.005130836326321164
2021-12-01,9,2021-12-01T16:45:00.000Z,NORMAL,NORMAL,NORMAL,0.010932354925122855,464.2485,0.7900000000000205,0.1556549223820686,0.001052238187091585,0.2790675353546267,VALID,0.00180773452127323,0.1653563695703847,0.004743956329607446,0.011959779835889027,156.72,0.3100000000000023,0.1653918427149878,0.0014037774374680888,0.25166170757455897,VALID,0.0026167766868521827,0.21879806507806548,0.003719856336583005
2021-12-01,10,2021-12-01T17:00:00.000Z,NORMAL,NORMAL,NORMAL,0.010932354925122855,463.83,1.670000000000016,0.32933956944048765,0.003427980078908167,0.2950753599168455,VALID,0.004304129812555147,0.39370564183423434,0.0022311758079889277,0.011959779835889027,156.5,0.6599999999999966,0.3526195677541604,0.004217252396166112,0.2987677418462328,VALID,0.005612112884661629,0.46924884585423093,0.0007054899948693016
2021-12-01,11,2021-12-01T17:15:00.000Z,NORMAL,NORMAL,NORMAL,0.010932354925122855,462.67,0.9670000000000414,0.19117953938186447,0.0005835692826421394,0.2716611598974284,VALID,0.00299137021972592,0.27362542107480137,0.0035525517719434685,0.011959779835889027,156.03,0.5241000000000042,0.2808554567933072,0.0007312696276357601,0.3551465260825872,VALID,0.0029991600312534042,0.25077050517715177,0.003335043612108901
2021-12-01,12,2021-12-01T17:30:00.000Z,NORMAL,NORMAL,NORMAL,0.010932354925122855,463.28,1.3500000000000227,0.26654865394362764,0.0017699879122776577,0.30238706069152094,VALID,0.004444014031463184,0.40650107519384654,0.0020903734511741323,0.011959779835889027,156.44,0.5300000000000011,0.28327280133896865,0.0027486576323191435,0.42181120449048665,VALID,0.005739573999462097,0.47990632588726473,0.0005772190867110449
2021-12-01,13,2021-12-01T17:45:00.000Z,NORMAL,NORMAL,NORMAL,0.010932354925122855,462.605,0.6699999999999591,0.13248013358701125,0.0005512262081040963,0.29092966380690777,VALID,0.004431101642025579,0.4053199582683494,0.002103370591803211,0.011959779835889027,156.01,0.2998999999999796,0.16073144310700208,0.000704442022947131,0.40601577627747004,VALID,0.006054402953019036,0.5062303015688402,0.0002603899435609236
2021-12-01,14,2021-12-01T18:00:00.000Z,ELEVATED,ELEVATED,ELEVATED,0.010932354925122855,462.611,2.490000000000009,0.49234515551065017,0.005060407123911901,0.46173641861741055,VALID,0.009060193255428662,0.8287503760610705,-0.002556104323715447,0.011959779835889027,155.9606,0.7805999999999926,0.4184951841679429,0.005005110265028428,0.5051871609605619,VALID,0.010710557476677792,0.8955480471753706,-0.004425346331451974
2021-12-01,15,2021-12-01T18:15:00.000Z,ELEVATED,ELEVATED,ELEVATED,0.010932354925122855,460.46,2.170000000000016,0.43107625557346957,0.0031490248881552983,0.4738648786964515,VALID,0.0108033658295135,0.9882011610039357,-0.004310718308638828,0.011959779835889027,155.23,0.7299999999999898,0.39320951430891116,0.0033498679378984853,0.4903883664012794,VALID,0.012877396428284654,1.0767252077368543,-0.006605951770138563
2021-12-01,16,2021-12-01T18:30:00.000Z,ELEVATED,ELEVATED,ELEVATED,0.010932354925122855,459.65,1.5900000000000318,0.31641432496451277,0.0018927444794952781,0.46991002458711567,VALID,0.009522456797297017,0.871034361994061,-0.0030214019582357476,0.011959779835889027,154.89,0.5200000000000102,0.2807092856106513,0.0019368584156497061,0.4428125651648274,VALID,0.011793976952481132,0.9861366274561049,-0.005515649050795157
2021-12-01,17,2021-12-01T18:45:00.000Z,ELEVATED,ELEVATED,ELEVATED,0.010932354925122855,460.2452,1.8500000000000227,0.3676789253788681,0.0037267091541639944,0.5247541245670609,VALID,0.012051563475154459,1.1023757971358605,-0.005567108569448087,0.011959779835889027,155.06,0.700000000000017,0.37746359813277963,0.003933961047336603,0.4942276127969176,VALID,0.014406929805889358,1.2046149681331841,-0.008145202668034757
2021-12-01,18,2021-12-01T19:00:00.000Z,ELEVATED,ELEVATED,ELEVATED,0.010932354925122855,459.07,1.936300000000017,0.38581580075432564,0.0036813557845208743,0.3075276742033959,VALID,0.011943960229840556,1.0925331560900025,-0.005458799064205877,0.011959779835889027,154.65,0.6399999999999864,0.34602451191112027,0.0038797284190106324,0.30144608726924144,VALID,0.014470660363289681,1.2099437081497084,-0.008209338122113885
2021-12-01,19,2021-12-01T19:15:00.000Z,ELEVATED,ELEVATED,ELEVATED,0.010932354925122855,459.12,2.32000000000005,0.4622192731436148,0.0045521867921241325,0.3915258423940144,VALID,0.015085974993005768,1.3799382746289894,-0.008621436617277434,0.011959779835889027,154.64,0.8100000000000023,0.43796559268013,0.0046559751681324296,0.3320180223578113,VALID,0.017181758275094213,1.4366283084522193,-0.010937660338635191
2021-12-01,20,2021-12-01T19:30:00.000Z,ELEVATED,ELEVATED,ELEVATED,0.010932354925122855,457.66,2.0399999999999636,0.40773077088435217,0.0017698728313595294,0.4261958993586978,VALID,0.012869348139539927,1.1771798690843642,-0.006390260809288617,0.011959779835889027,154.2146,0.7275999999999954,0.3944972805155691,0.0023642378866851506,0.372753596555559,VALID,0.014916774265091045,1.247244888265304,-0.008658286300667006
2021-12-01,21,2021-12-01T19:45:00.000Z,ELEVATED,ELEVATED,ELEVATED,0.010932354925122855,458.69,1.6000000000000227,0.3190707459785324,0.001983910702217238,0.38071241502454983,VALID,0.014311231626745935,1.3090712590988358,-0.007841608179533832,0.011959779835889027,154.57,0.5200000000000102,0.28129042665610254,0.0023937374652261405,0.3337637822957917,VALID,0.016637499314896362,1.3911208687111771,-0.010389943560800252
2021-12-01,22,2021-12-01T20:00:00.000Z,ELEVATED,ELEVATED,ELEVATED,0.010932354925122855,458.02,1.5150000000000432,0.30256205940302294,0.0015064844329941876,0.39449644388042066,VALID,0.015430305378010234,1.4114347259757332,-0.008968027034052528,0.011959779835889027,154.3,0.47999999999998977,0.2601070516869155,0.0018146467919637143,0.3562342226981556,VALID,0.018103302135101102,1.5136818890910126,-0.011865059004617762
2021-12-01,23,2021-12-01T20:15:00.000Z,ELEVATED,ELEVATED,ELEVATED,0.010932354925122855,457.5,2.180000000000007,0.43586467463238154,0.004043715846994585,0.37086294299133743,VALID,0.01820646910710835,1.6653748649588185,-0.011762412269300748,0.011959779835889027,154.07,0.700000000000017,0.3798890473581412,0.0036347114947751172,0.34135871486793173,VALID,0.02052506331630872,1.7161740097185487,-0.014302206259620198
2021-12-01,24,2021-12-01T20:30:00.000Z,HIGH,HIGH,HIGH,0.010932354925122855,456.21,3.079999999999984,0.6175500951542352,0.006751276824269491,0.5623421701477509,VALID,0.023253061312329192,2.1269947300094523,-0.016842128065158946,0.011959779835889027,153.69,1.0200000000000102,0.5549212760101255,0.006636736287331709,0.5415166395846792,VALID,0.02594216069532578,2.1691169111222504,-0.01975371985633645
2021-12-01,25,2021-12-01T20:45:00.000Z,HIGH,HIGH,HIGH,0.010932354925122855,453.865,2.1899999999999977,0.44137090246498245,0.001553325328016005,0.6116023493424462,VALID,0.020315492715260286,1.8582906294575856,-0.013885278572047466,0.011959779835889027,152.84,0.7900000000000205,0.4321822014236217,0.00176655325830941,0.586315401713634,VALID,0.022819363382715865,1.9080086503130511,-0.01661108260646471
