date,index,targetAt,originalRaw,currentCloseRaw,finalRaw,originalEffective,currentCloseEffective,finalEffective,spy_referencePrice,spy_currentClose,spy_priorAtr14Pct,spy_downsideExcursionPct,spy_acuteCloseDownsidePct,spy_acuteCloseDownsideAtrRatio,spy_shockAtrRatio,spy_realizedMovement60AtrRatio,spy_sessionDrawdownPct,spy_sessionDrawdownAtrRatio,spy_openToCurrentPct,rsp_referencePrice,rsp_currentClose,rsp_priorAtr14Pct,rsp_downsideExcursionPct,rsp_acuteCloseDownsidePct,rsp_acuteCloseDownsideAtrRatio,rsp_shockAtrRatio,rsp_realizedMovement60AtrRatio,rsp_sessionDrawdownPct,rsp_sessionDrawdownAtrRatio,rsp_openToCurrentPct
2022-03-07,23,2022-03-07T20:15:00.000Z,ELEVATED,ELEVATED,HIGH,ELEVATED,ELEVATED,HIGH,421.7599,420.765,0.02131056038469367,0.0028686937757714864,0.002358925066133669,0.1106927750162764,0.16800290509053312,0.16848713658828335,0.026686911782463147,1.2522857822936955,-0.02499131039277025,149.9001,149.6223,0.02036959814283407,0.0022688443836929176,0.0018532342540132619,0.09098040329603758,0.13755136567434417,0.1597132948543274,0.024308444734268006,1.1933688904324116,-0.022970484523964996
2022-03-07,25,2022-03-07T20:45:00.000Z,ELEVATED,ELEVATED,HIGH,ELEVATED,ELEVATED,HIGH,421.57,421.32,0.02131056038469367,0.002846502360224847,0.0005930213250468487,0.027827580051474708,0.1357985906511933,0.14542299359047323,0.025403086454879487,1.192042161083914,-0.023705248522766786,149.92,149.86,0.02036959814283407,0.0025353521878335034,0.0004002134471716506,0.01964758677934173,0.12446746224718372,0.13882943481156115,0.02275839582654047,1.1172726956592791,-0.021418310043097688
2022-03-16,19,2022-03-16T18:15:00.000Z,ELEVATED,ELEVATED,HIGH,ELEVATED,ELEVATED,HIGH,431.3465,426.7,0.02258895645868149,0.011119830577041846,0.01077208230506102,0.4768738354409925,0.49226844973479167,0.48058827822631156,0.018064664595558676,0.7997122234752896,-0.007420502919351479,153.06,151.65,0.020578257435659178,0.009800078400627205,0.009212073696589551,0.4476605332299102,0.47623460981905447,0.4516501764193484,0.0167920124481328,0.8160075021238019,-0.005378107168623303
2022-04-21,23,2022-04-21T19:15:00.000Z,ELEVATED,ELEVATED,HIGH,ELEVATED,ELEVATED,HIGH,439.22,438.28,0.0155557137951322,0.0030053276262466417,0.0021401575520241666,0.13758015737560556,0.1967249888601535,0.20798629720868556,0.02606608742027959,1.6756600027210817,-0.022874214116912706,157,156.7198,0.014291933187518278,0.0028025477707006225,0.001784713375796228,0.12487557507999618,0.19609298013988763,0.21990405203815405,0.023400529677519877,1.6373243122880328,-0.022029329173167023
2022-04-21,25,2022-04-21T19:45:00.000Z,ELEVATED,ELEVATED,HIGH,ELEVATED,ELEVATED,HIGH,439.48,438.48,0.0155557137951322,0.004459816146354866,0.00227541640120142,0.14627528065690298,0.29840157254008504,0.29326858897608976,0.02562165285215878,1.6470894996908776,-0.0224283230035226,157.21,156.825,0.014291933187518278,0.004325424591311028,0.0024489536289041365,0.17135216046510113,0.3070986771971778,0.3462896554744214,0.02274497585293663,1.5914555123166079,-0.021372854914196604
2022-04-29,23,2022-04-29T19:15:00.000Z,ELEVATED,ELEVATED,HIGH,ELEVATED,ELEVATED,HIGH,415.66,414.115,0.019822658305276093,0.004234229899437155,0.003716980224221758,0.18751169328446876,0.2233148968565857,0.2162389067730843,0.027602319956794318,1.3924630860154388,-0.02236832786420828,148.88,148.31,0.018261283138377146,0.0043659322944653795,0.0038285867813003306,0.20965595639083726,0.23908135377902986,0.249232663962324,0.026006435936166073,1.4241297141662537,-0.02053889842821277
2022-04-29,24,2022-04-29T19:30:00.000Z,ELEVATED,ELEVATED,HIGH,ELEVATED,ELEVATED,HIGH,414.115,414.07,0.019822658305276093,0.00025355275708442866,0.00010866546732191762,0.005481881675425677,0.1449653154167608,0.2095084324599122,0.027707986005118958,1.397793655038894,-0.022474562666729536,148.31,148.28,0.018261283138377146,0.0005056975254533654,0.0002022790101813845,0.011076933019908301,0.1310770407355728,0.24775059501856656,0.02620345439022794,1.4349185756372103,-0.02073702285034995
2022-04-29,25,2022-04-29T19:45:00.000Z,ELEVATED,ELEVATED,HIGH,ELEVATED,ELEVATED,HIGH,414.07,414.08,0.019822658305276093,0.0006037626488274929,0,0,0.16203766630569919,0.2007570476002755,0.027684504661046844,1.3966090841447942,-0.022450954932835998,148.28,148.3,0.018261283138377146,0.0007418397626113679,0,0,0.17357372763370896,0.2389147083113758,0.026072108754186633,1.4277260013232358,-0.020604939902258423
2022-05-02,21,2022-05-02T18:45:00.000Z,ELEVATED,ELEVATED,HIGH,ELEVATED,ELEVATED,HIGH,406.285,405.5016,0.021991038287888728,0.0031135779071342607,0.0019282031086553248,0.08768131287904024,0.21377496502292942,0.17820591713980632,0.025049047893825782,1.1390570816122498,-0.015940010192443066,145.21,144.86,0.019949093275729874,0.0032366916879002744,0.0024103023207767667,0.1208226503060742,0.21402869482790793,0.2287966719785107,0.026674729557212916,1.337139948594329,-0.018563685636856286
2022-05-05,10,2022-05-05T16:00:00.000Z,ELEVATED,ELEVATED,HIGH,ELEVATED,ELEVATED,HIGH,415.45,412.335,0.021988161201008497,0.007630280418823001,0.0074978938500421454,0.3409968565128698,0.349207053700183,0.40685436661522556,0.02980000000000005,1.355274764796306,-0.02877164056059367,149.24,148.12,0.020424698223289472,0.007839721254355506,0.00750469043151973,0.3674321328754042,0.38383535309305983,0.4510451070058822,0.026487019388761097,1.2968132551676579,-0.02494898295043113
2022-05-05,11,2022-05-05T16:15:00.000Z,ELEVATED,ELEVATED,HIGH,ELEVATED,ELEVATED,HIGH,412.335,413.66,0.021988161201008497,0.003213406574751085,0,0,0.3672866312904393,0.3793431088156963,0.02668235294117641,1.2134872351196249,-0.025650688964786172,148.12,148.54,0.020424698223289472,0.0035106670267351487,0,0,0.3594016247876748,0.4162380965297132,0.023726585606309653,1.1616615015273601,-0.02218418800605626
2022-05-05,12,2022-05-05T16:30:00.000Z,ELEVATED,ELEVATED,HIGH,ELEVATED,ELEVATED,HIGH,413.66,414.061,0.021988161201008497,0.0015955132234202606,0,0,0.21110154303402642,0.3816304258271126,0.025738823529411814,1.170576443119368,-0.02470615946296084,148.54,148.6167,0.020424698223289472,0.0018850141376060398,0,0,0.1911740432831299,0.41346645002716625,0.0232224778179428,1.1369802169935186,-0.021679283786452452
2022-05-05,13,2022-05-05T16:45:00.000Z,ELEVATED,ELEVATED,HIGH,ELEVATED,ELEVATED,HIGH,414.061,412.82,0.021988161201008497,0.003987335199402875,0.0029971429330460622,0.13630712025654046,0.2636076459433504,0.3976931183842373,0.02865882352941178,1.303375178461823,-0.02762925450476983,148.6167,148.2,0.020424698223289472,0.0034094418729523333,0.0028038571708295236,0.13727777713907158,0.24049142623353978,0.4168502894228466,0.025961222477818055,1.2710700639980816,-0.024422355341978896
2022-05-05,18,2022-05-05T18:00:00.000Z,ELEVATED,ELEVATED,HIGH,ELEVATED,ELEVATED,HIGH,414.765,413.45,0.021988161201008497,0.004665292394488451,0.0031704700251949844,0.14418986636543166,0.2686427168025145,0.14976996271317225,0.02717647058823532,1.2359592209551773,-0.02614533034978217,149.095,148.65,0.020424698223289472,0.0044602434689291525,0.0029846742010127313,0.1461306389148715,0.2594229320061777,0.1551707164312628,0.023003614853762733,1.1262646136691814,-0.021460075044434146
