symbol,group,metric,n,p50,p75,p90,p95,p97.5,p99,p99.5,p99.9,max
SPY,actionable,shockPct,30905,0.0017087946751601051,0.0026636685981146135,0.004019718359610789,0.005129727192165542,0.00648861576209011,0.008496827760581764,0.011058485547281477,0.018645034315219987,0.0713361597101968
SPY,actionable,shockAtrRatio,30905,0.13637136850205805,0.19821460452177855,0.28218831580509407,0.3475058657458983,0.4195767994006921,0.5376169054471387,0.6471053669530568,1.0229834900131503,2.2048650995953114
SPY,actionable,downsideExcursionPct,30905,0.0007168030583597428,0.0014433763459484425,0.0024963782931922826,0.0033811303186248565,0.004352358205185992,0.005903050443147815,0.007081679886442734,0.011614427384867341,0.03174510490871569
SPY,actionable,downsideExcursionAtrRatio,30905,0.0579950116579862,0.11083305434415845,0.1836948137327242,0.2421467310837277,0.30729161810201777,0.39894871074815996,0.49224209484636894,0.8012357670696555,1.5384337867480566
SPY,actionable,realizedMovement60Pct,27182,0.001924113101895884,0.003067243393814506,0.004626270816974845,0.0059044722890702435,0.007266382659894447,0.009177242862266498,0.010707023341119044,0.01719545969919705,0.05448241817901385
SPY,actionable,realizedMovement60AtrRatio,27182,0.15448490201320614,0.22803098519206474,0.326451690149408,0.4019083577736127,0.4832610967077663,0.599350261390579,0.7066088139304754,1.0129733844338225,2.2058830459522354
SPY,actionable,sessionDrawdownPct,30905,0.002489961641131505,0.005370392179955316,0.009520391264101213,0.013019093747619236,0.017034816242778774,0.02234938969588968,0.02650405326814105,0.03599365287257921,0.065478684902282
SPY,actionable,sessionDrawdownAtrRatio,30905,0.2023516139818608,0.42005756559127,0.7153101410251256,0.9344734534256577,1.14795406781377,1.4197006749768974,1.6416250017432257,2.3258423555290606,4.513188502408043
SPY,actionable,pathLength60,27182,0.003252495972262459,0.005150391763346335,0.007793723572194136,0.010126218413731552,0.012161734084908622,0.015107790363108295,0.017989533445994133,0.03013316930587352,0.10216228601229227
SPY,actionable,openToCurrentPct,30905,0.00027638574722321785,0.003329190065034515,0.006719916360465695,0.009211995148897277,0.01199510787757152,0.015725843225735926,0.01835760748590939,0.034849445000921214,0.09788424124513617
SPY,closing_only,shockPct,1241,0.0022970903522206076,0.0034153416344180217,0.004919695688926405,0.006350964645065893,0.00788950715421309,0.01077924105004481,0.015482151044672744,0.02262907406015848,0.02807869173627935
SPY,closing_only,shockAtrRatio,1241,0.18416660948079888,0.25202024710682414,0.34346386007381063,0.4119787739626534,0.5075172313141774,0.7599455462271273,0.9763444915399503,1.6852822604267708,1.7925813429881796
SPY,closing_only,downsideExcursionPct,1241,0.0009435768399747571,0.001843626916952978,0.003147235905856585,0.00422392129604877,0.005344487045428166,0.006897076198887461,0.009905181370893969,0.02065242612351184,0.02783380044080431
SPY,closing_only,downsideExcursionAtrRatio,1241,0.07892215056598052,0.14293904218359457,0.22164092003009261,0.27607729554653,0.3548385939610505,0.5677132850906106,0.7554881018208098,1.2097524053251383,1.7313763087079086
SPY,closing_only,realizedMovement60Pct,1241,0.002051445951417774,0.0032611809035966613,0.005011401825552364,0.00661017719840146,0.007994317711787888,0.011554869752119178,0.0132201564414908,0.014460861783052942,0.021326505866311636
SPY,closing_only,realizedMovement60AtrRatio,1241,0.15968715817423237,0.241720818450502,0.3419317716204437,0.43844617960607823,0.5447456366948179,0.6953166495753574,0.789995084110948,1.058727781488806,1.5910028726210106
SPY,closing_only,sessionDrawdownPct,1241,0.0034068443283702394,0.007378674755016253,0.013377926421404816,0.017783714412927948,0.023370094431486205,0.03016619792428465,0.03381178190947533,0.037980989199417316,0.05379252542954019
SPY,closing_only,sessionDrawdownAtrRatio,1241,0.2748399934151672,0.5738158531921175,0.9453798387023155,1.2681049363603978,1.58179912296806,1.850707143535676,2.2904059732681863,3.955136830140277,4.640125535203991
SPY,closing_only,pathLength60,1241,0.003389314867248361,0.005377697432544015,0.008433248642478408,0.011446323425912008,0.013652547839418383,0.0178195760736899,0.022004130825212676,0.026074647231985024,0.038322148551926394
SPY,closing_only,openToCurrentPct,1241,0.000568931773701653,0.004865123148429795,0.00954319235176393,0.012695413412851853,0.016306582012515447,0.01940151158998091,0.024861226684242815,0.04656097269749476,0.10118758106355386
SPY,including_close,shockPct,32146,0.0017307427215010273,0.002696821111870811,0.004062475026004766,0.005191162002479116,0.006548798508044223,0.008566842987624064,0.011118144891369362,0.019093717216118487,0.0713361597101968
SPY,including_close,shockAtrRatio,32146,0.1381129680488814,0.20033028964792932,0.28517207354712376,0.3508521235629811,0.42505184535520635,0.5453490012994683,0.660196026583553,1.0801013532384578,2.2048650995953114
SPY,including_close,downsideExcursionPct,32146,0.0007234720224989933,0.001459287173745236,0.002525497476612049,0.0034244634369975328,0.004404659346833967,0.005981501220156818,0.007179176404009678,0.011724044595729715,0.03174510490871569
SPY,including_close,downsideExcursionAtrRatio,32146,0.05867304989079747,0.11212709794770628,0.18514429991236406,0.24341407748667288,0.3085799401670379,0.40567122500488045,0.5003084478606704,0.8259902607112563,1.7313763087079086
SPY,including_close,realizedMovement60Pct,28423,0.0019294713590620142,0.003073421338194287,0.004640194581496766,0.005935798047722983,0.007312001738525834,0.009240243376061935,0.010801704831816986,0.017163910687385323,0.05448241817901385
SPY,including_close,realizedMovement60AtrRatio,28423,0.15470929026497968,0.2283200322061701,0.3271363399280299,0.4035307129065522,0.48548519346933877,0.6065279584917452,0.7141635061749569,1.0153810252791684,2.2058830459522354
SPY,including_close,sessionDrawdownPct,32146,0.002517307355074522,0.005438477141658493,0.009724676971531952,0.013241598435511766,0.01738630070059333,0.022878832982560784,0.02693766004233039,0.0362039392489231,0.065478684902282
SPY,including_close,sessionDrawdownAtrRatio,32146,0.20509225166920259,0.4251514976564688,0.7262988035947229,0.945398771478154,1.16820346485736,1.4483620682835956,1.673698786547966,2.3953414057284905,4.640125535203991
SPY,including_close,pathLength60,28423,0.0032606080690503747,0.0051665182057799575,0.007829661543592546,0.010159452398219346,0.012271270648653134,0.015247023173924755,0.01824524820196954,0.029989477980324867,0.10216228601229227
SPY,including_close,openToCurrentPct,32146,0.00028589505599085907,0.0033810835209822088,0.006853015940085583,0.00939943363972695,0.012199471892991892,0.01598480687052582,0.018623376383869607,0.03631523538911225,0.10118758106355386
SPY,opening_1_4,shockPct,4964,0.002499051811082311,0.0037496329330361546,0.005318273559791333,0.006580073818557178,0.007579273899657618,0.009306173609623382,0.011093649894249439,0.017467852487524166,0.05002140994199839
SPY,opening_1_4,shockAtrRatio,4964,0.19990568606026515,0.27397981955923656,0.3622655226384608,0.4254097152640834,0.4960464018794815,0.5825989083488401,0.6468561221385102,0.9916853398649443,2.025265834624488
SPY,opening_1_4,downsideExcursionPct,4964,0.0010421373550626345,0.0020279493299694158,0.0033658904886729115,0.004409443044360234,0.005535128331293731,0.00687802480034139,0.008182377334709503,0.011141862354822901,0.03174510490871569
SPY,opening_1_4,downsideExcursionAtrRatio,4964,0.08585262876986975,0.1563408808046537,0.24669060841358023,0.3144075280056521,0.3806262346827963,0.4792990935450999,0.5422332705181474,0.6881159633709536,1.2852951658648004
SPY,opening_1_4,realizedMovement60Pct,1241,0.0029230842557460435,0.004522521120806779,0.006341006718751147,0.0077463785136242195,0.009014733417225503,0.010681353560428663,0.011783099285287197,0.013445222714627718,0.05448241817901385
SPY,opening_1_4,realizedMovement60AtrRatio,1241,0.24047391557454142,0.3329494022156017,0.438210265291581,0.5242670382799912,0.6066906370807091,0.6966392784654019,0.77806272547897,1.1735371417953684,2.2058830459522354
